unidade;ano;mes;setor_centro_custo;internacoes
HIJPII;2019,0;9,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;170,0
HIJPII;2019,0;9,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;78,0
HIJPII;2019,0;9,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;128,0
HIJPII;2019,0;9,0;UTI;43,0
HIJPII;2019,0;10,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;211,0
HIJPII;2019,0;10,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;39,0
HIJPII;2019,0;10,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;101,0
HIJPII;2019,0;10,0;UTI;40,0
HIJPII;2019,0;11,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;213,0
HIJPII;2019,0;11,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;37,0
HIJPII;2019,0;11,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;93,0
HIJPII;2019,0;11,0;UTI;29,0
HIJPII;2019,0;12,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;228,0
HIJPII;2019,0;12,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;61,0
HIJPII;2019,0;12,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;124,0
HIJPII;2019,0;12,0;UTI;45,0
HIJPII;2020,0;1,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;207,0
HIJPII;2020,0;1,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;19,0
HIJPII;2020,0;1,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;80,0
HIJPII;2020,0;1,0;UTI;31,0
HIJPII;2020,0;2,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;189,0
HIJPII;2020,0;2,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;39,0
HIJPII;2020,0;2,0;UNIDADE INTERNAÇÃO - DOENÇAS INFECTO-CONTAGIOSAS E PARASITÁRIAS;101,0
HIJPII;2020,0;2,0;UTI;49,0
HIJPII;2020,0;3,0;UNIDADE INTERNAÇÃO - CLINICA PEDIÁTRICA;196,0
HIJPII;2020,0;3,0;UNIDADE INTERNAÇÃO - CURTO PRAZO;56,0
